City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,khairagarh,26.95,77.8167,22.75,31,13,1.96,IN,1680135148
348,batagay,67.6333,134.6333,-19.64,95,96,0.65,RU,1680135149
349,araouane,18.9048,-3.5265,27.53,10,1,5.09,ML,1680135149
350,doha,25.2867,51.5333,20.99,56,0,4.12,QA,1680135150
351,conakry,9.538,-13.6773,25.56,85,48,3.5,GN,1680135151
352,dutse,11.7594,9.3392,24.47,13,80,4.2,NG,1680135151
353,ozark,37.0209,-93.206,17.23,39,13,1.16,US,1680135152
354,benghazi,32.1167,20.0667,13.43,60,0,4.5,LY,1680135153
355,rocha,-34.4833,-54.3333,19.46,90,50,5.82,UY,1680135153
356,mineiros,-17.5694,-52.5511,21.15,85,25,1.79,BR,1680135154
357,mgandu,-5.95,34.1333,15.69,96,99,0.87,TZ,1680135155
358,ranfurly,-45.1333,170.1,10.06,69,5,2.69,NZ,1680135156
359,chiang khong,20.2613,100.4046,21.16,50,3,0.61,TH,1680134948
360,port moresby,-9.4431,147.1797,28.86,70,96,0.59,PG,1680134893
361,long xuyen,10.3833,105.4167,25.56,77,93,2.38,VN,1680135036
362,oum hadjer,13.2954,19.6966,31.07,16,68,2.71,TD,1680135158
363,boueni,-12.9025,45.0761,25.99,73,74,1.66,YT,1680135159
364,charters towers,-20.1,146.2667,28.34,56,6,4.43,AU,1680135160
